2022-06-21T19:22:06+00:00 CRITICAL syntax error, unexpected '}', expecting end of file in /home/customer/www/thelibrary.santhigramschool.com/public_html/wp-content/plugins/insert-php-code-snippet/shortcode-handler.php(99) : eval()'d code on line 22

2022-06-21T19:22:08+00:00 CRITICAL syntax error, unexpected '}', expecting end of file in /home/customer/www/thelibrary.santhigramschool.com/public_html/wp-content/plugins/insert-php-code-snippet/shortcode-handler.php(99) : eval()'d code on line 22

2022-06-21T19:22:10+00:00 CRITICAL syntax error, unexpected '}', expecting end of file in /home/customer/www/thelibrary.santhigramschool.com/public_html/wp-content/plugins/insert-php-code-snippet/shortcode-handler.php(99) : eval()'d code on line 22

2022-06-21T19:22:11+00:00 CRITICAL syntax error, unexpected '}', expecting end of file in /home/customer/www/thelibrary.santhigramschool.com/public_html/wp-content/plugins/insert-php-code-snippet/shortcode-handler.php(99) : eval()'d code on line 22

2022-06-21T19:22:18+00:00 CRITICAL syntax error, unexpected '}', expecting end of file in /home/customer/www/thelibrary.santhigramschool.com/public_html/wp-content/plugins/insert-php-code-snippet/shortcode-handler.php(99) : eval()'d code on line 22

2022-06-21T19:22:19+00:00 CRITICAL syntax error, unexpected '}', expecting end of file in /home/customer/www/thelibrary.santhigramschool.com/public_html/wp-content/plugins/insert-php-code-snippet/shortcode-handler.php(99) : eval()'d code on line 22

2022-06-21T19:22:26+00:00 CRITICAL syntax error, unexpected '}', expecting end of file in /home/customer/www/thelibrary.santhigramschool.com/public_html/wp-content/plugins/insert-php-code-snippet/shortcode-handler.php(99) : eval()'d code on line 22

2022-06-21T19:22:28+00:00 CRITICAL syntax error, unexpected '}', expecting end of file in /home/customer/www/thelibrary.santhigramschool.com/public_html/wp-content/plugins/insert-php-code-snippet/shortcode-handler.php(99) : eval()'d code on line 22

2022-06-21T19:22:46+00:00 CRITICAL syntax error, unexpected '}', expecting end of file in /home/customer/www/thelibrary.santhigramschool.com/public_html/wp-content/plugins/insert-php-code-snippet/shortcode-handler.php(99) : eval()'d code on line 22

2022-06-21T19:22:47+00:00 CRITICAL syntax error, unexpected '}', expecting end of file in /home/customer/www/thelibrary.santhigramschool.com/public_html/wp-content/plugins/insert-php-code-snippet/shortcode-handler.php(99) : eval()'d code on line 22

2022-06-21T19:23:01+00:00 CRITICAL syntax error, unexpected '}', expecting end of file in /home/customer/www/thelibrary.santhigramschool.com/public_html/wp-content/plugins/insert-php-code-snippet/shortcode-handler.php(99) : eval()'d code on line 22

2022-06-21T19:23:02+00:00 CRITICAL syntax error, unexpected '}', expecting end of file in /home/customer/www/thelibrary.santhigramschool.com/public_html/wp-content/plugins/insert-php-code-snippet/shortcode-handler.php(99) : eval()'d code on line 22

2022-06-21T19:23:06+00:00 CRITICAL syntax error, unexpected '}', expecting end of file in /home/customer/www/thelibrary.santhigramschool.com/public_html/wp-content/plugins/insert-php-code-snippet/shortcode-handler.php(99) : eval()'d code on line 22

2022-06-21T19:23:07+00:00 CRITICAL syntax error, unexpected '}', expecting end of file in /home/customer/www/thelibrary.santhigramschool.com/public_html/wp-content/plugins/insert-php-code-snippet/shortcode-handler.php(99) : eval()'d code on line 22

2022-06-21T19:23:23+00:00 CRITICAL syntax error, unexpected '}', expecting end of file in /home/customer/www/thelibrary.santhigramschool.com/public_html/wp-content/plugins/insert-php-code-snippet/shortcode-handler.php(99) : eval()'d code on line 22

